lp. ilosc warunek_wyt warunek_el warunek_ter warunek_chem
0 200 73 86 0 0
1 200 0 10 0 20
2 200 98 84 1 23
3 200 20 32 0 26
4 200 46 16 93 0
5 200 78 92 93 0
6 200 0 30 91 0
7 150 86 91 0 0
8 200 38 0 0 0
9 250 65 67 49 27
10 200 0 25 0 0
11 150 0 0 4 0
12 200 0 7 0 67
13 200 32 55 79 31
14 200 12 56 0 0
15 150 92 17 0 0
16 200 3 79 0 0
17 200 91 68 98 56
18 200 0 33 88 0
19 150 98 26 96 81
20 200 0 32 0 0
21 100 27 93 0 0
22 200 51 82 0 0
23 200 49 47 48 6
24 200 40 48 0 63
25 100 0 58 82 0
26 200 43 7 0 0
27 300 0 68 0 6
28 200 81 38 0 0
29 300 17 94 34 65
30 200 0 86 91 14
31 200 21 28 0 56
32 200 34 85 0 0
33 300 48 12 0 46
34 200 0 44 0 0
35 200 31 55 0 0
36 300 26 53 63 68
37 200 0 92 0 64
38 200 28 75 0 91
39 150 71 43 0 0
40 250 0 79 91 0
41 250 48 72 0 0
42 300 75 81 0 0
43 200 90 83 0 83
44 250 48 87 73 0
45 200 0 69 0 0
46 200 53 81 0 0
47 150 41 81 0 39
48 300 0 70 0 0
49 200 0 42 0 0
